tollbooth_id,strech_id
26,751
523,330
921,889
672,
459,358
180,105
28,771
243,131
292,660
347,170
13,755
789,422
222,261
837,697
198,120
407,725
388,692
75,1370
195,
529,328
159,973
210,
50,241
196,902
131,656
293,262
132,900
134,674
190,98
27,774
231,608
408,641
384,624
393,657
628,52
842,539
588,464
7,517
78,1347
132,896
216,721
30,772
543,1047
621,47
256,574
841,631
154,983
655,139
216,564
268,3
394,624
917,886
154,979
159,976
255,535
73,1363
459,360
127,575
477,1058
896,154
388,700
394,557
459,364
844,600
251,164
287,741
390,652
437,296
241,130
515,9
127,544
16,516
924,1387
618,32
520,340
668,795
408,725
280,126
126,698
575,476
734,782
200,268
393,648
216,635
254,570
783,417
574,473
498,315
917,883
274,766
314,174
253,582
275,679
402,608
569,470
548,384
590,466
46,1028
202,845
27,775
723,239
682,664
398,137
131,531
828,497
844,615
257,609
459,363
246,963
277,541
503,272
112,434
439,288
908,871
528,332
127,610
155,989
98,440
683,664
312,193
93,514
332,182
803,85
624,48
761,
321,
730,220
493,279
880,25
409,651
407,680
270,935
663,18
126,684
638,13
824,1369
841,686
426,203
86,442
816,506
445,372
633,45
714,234
256,569
863,20
127,558
236,942
207,1001
296,840
414,210
525,337
578,486
196,904
841,736
271,766
412,584
287,588
479,281
579,487
296,839
847,1354
876,144
46,1034
472,306
809,505
393,654
288,671
123,720
831,57
311,178
494,278
682,645
877,143
246,961
632,44
132,892
393,650
561,396
836,718
107,445
175,108
566,480
28,779
539,393
796,75
123,632
124,558
555,394
800,86
116,436
131,627
349,1068
738,785
294,836
394,606
489,316
97,439
91,452
125,684
207,1010
170,114
916,
134,737
265,122
834,55
844,539
176,102
911,872
127,748
565,485
842,600
606,481
804,85
302,258
802,88
696,816
719,238
371,349
42,
683,584
740,784
5,754
123,705
131,577
191,99
393,649
187,106
700,166
324,1064
499,313
858,67
228,915
504,273
406,547
478,282
166,111
196,909
247,
837,696
258,549
409,746
913,882
207,1002
239,844
231,677
930,200
147,
216,562
137,757
277,572
848,1354
233,956
553,395
4,199
229,
246,969
626,42
156,
653,1336
30,777
444,378
696,820
246,965
908,873
424,204
215,
911,877
196,911
893,142
554,394
275,674
386,667
841,570
391,138
650,1407
257,693
682,614
269,5
749,1392
374,354
138,764
537,1048
233,955
163,102
323,1065
416,210
640,13
31,94
